input end: 11.559093
Thread 64 end: 58.326769
Thread 64 end: 105.132729
Thread 64 end: 151.966691
Thread 64 end: 198.911807
Thread 64 end: 246.248794
Thread 64 end: 293.242905
Thread 64 end: 340.368289
Thread 64 end: 387.284354
Thread 64 end: 434.308994
Thread 64 end: 481.297930
Thread 128 end: 543.058115
Thread 128 end: 605.134335
Thread 128 end: 666.877278
Thread 128 end: 728.702310
Thread 128 end: 790.706027
Thread 128 end: 853.095473
Thread 128 end: 915.749297
Thread 128 end: 978.078136
Thread 128 end: 1040.266429
Thread 128 end: 1102.760922
Thread 256 end: 1176.241541
Thread 256 end: 1252.416692
Thread 256 end: 1325.169928
Thread 256 end: 1397.205169
Thread 256 end: 1471.053317
Thread 256 end: 1596.832720
Thread 256 end: 1674.871712
Thread 256 end: 1750.545850
Thread 256 end: 1823.389834
Thread 256 end: 1895.386513
