input end: 1.112125
Thread 64 end: 1.130742
Thread 64 end: 1.145691
Thread 64 end: 1.160298
Thread 64 end: 1.175025
Thread 64 end: 1.189594
Thread 64 end: 1.203954
Thread 64 end: 1.218215
Thread 64 end: 1.232639
Thread 64 end: 1.246866
Thread 64 end: 1.261474
Thread 128 end: 1.313274
Thread 128 end: 1.339904
Thread 128 end: 1.368022
Thread 128 end: 1.395029
Thread 128 end: 1.422301
Thread 128 end: 1.448947
Thread 128 end: 1.475736
Thread 128 end: 1.503269
Thread 128 end: 1.530678
Thread 128 end: 1.558045
Thread 256 end: 1.661413
Thread 256 end: 1.710868
Thread 256 end: 1.759144
Thread 256 end: 1.806455
Thread 256 end: 1.855344
Thread 256 end: 1.903517
Thread 256 end: 1.952723
Thread 256 end: 2.000901
Thread 256 end: 2.052674
Thread 256 end: 2.100586
