input end: 444.884561
Thread 64 end: 485.590615
Thread 64 end: 515.144876
Thread 64 end: 544.370526
Thread 64 end: 573.236640
Thread 64 end: 602.617098
Thread 64 end: 630.426849
Thread 64 end: 668.119928
Thread 64 end: 695.979683
Thread 64 end: 725.371621
Thread 64 end: 751.576022
Thread 128 end: 781.165717
Thread 128 end: 807.809748
Thread 128 end: 846.543371
Thread 128 end: 874.320480
Thread 128 end: 909.600377
Thread 128 end: 947.344557
Thread 128 end: 975.574258
Thread 128 end: 1009.202666
Thread 128 end: 1041.227007
Thread 128 end: 1068.308255
Thread 256 end: 1109.338771
Thread 256 end: 1138.446086
Thread 256 end: 1179.445466
Thread 256 end: 1210.417048
Thread 256 end: 1241.923025
Thread 256 end: 1273.039966
Thread 256 end: 1313.898521
Thread 256 end: 1346.491908
Thread 256 end: 1376.695729
Thread 256 end: 1417.495674
